number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
3 rooms ; 62 m_ ; Apartment;Rue De La Servette 44; 1202 Genève;Near Cornavin Station;Sunny balcony;Fitted kitchen;CHF 2,570.-;CHF 497 / m_ / year
2 rooms ; 34 m_ ; Apartment;Rue Des Charmilles 15;1203 Genève;Sunny balcony;Central location;Near public transport;CHF 1,700.-;CHF 600 / m_ / year
4.5 rooms ; 110 m_ ; Apartment;;1202 Genève;Stunning lake views;Two sunny terraces;Flexible rental options;CHF 2,405.-;CHF 262 / m_ / year
6.5 rooms ; 180 m_ ; Apartment;;1202 Genève;Lake view balcony;Near UN and lake;3 balconies;CHF 5,800.-;CHF 387 / m_ / year
6.5 rooms ; 195 m_ ; Stepped apartment;;1206 Genève;Bright living spaces;High-end materials;Private park access;CHF 7,500.-;CHF 462 / m_ / year
5.5 rooms ; 107 m_ ; Apartment;Route De Malagnou 54; 1208 Genève;Equipped modern kitchen;Bright living-dining area;Private cellar included;CHF 4,430.-;CHF 497 / m_ / year
3.5 rooms ; 64 m_ ; Apartment;Rue Joseph- Pasquier 3; 1203 Genève;Spacious and bright;Central location;Balcony;CHF 2,170.-;CHF 407 / m_ / year
4 rooms ; Apartment; Apartment;Rue Du Conseil-Général; 1205 Genève;Prime location in Plainpalais;78m_, 5th floor;Open kitchen, 2 bathrooms;CHF 3,322.-;—
4 rooms ; 99 m_ ; Apartment;Rue De La Dôle 18; 1203 Genève;Spacious living with loggia;Equipped kitchen with dining;Views of Parc Voltaire;CHF 3,040.-;CHF 368 / m_ / year
8 rooms ; 183 m_ ; Apartment;Rue De Contamines 3; 1206 Genève;Private garden;Fully equipped kitchen;Central Champel location;CHF 7,300.-;CHF 479 / m_ / year
6 rooms ; 123 m_ ; Apartment;Avenue Pictet-De-Rochemont 17; 1207 Genève;Prime location in Eaux-Vives;Fully equipped kitchen;Spacious living room with fireplace;CHF 5,831.-;CHF 569 / m_ / year
2.5 rooms ; 41 m_ ; Apartment;Rue Emile- Yung; 1205 Genève;Large private terrace;Modern bathroom;Prime location;CHF 2,500.-;CHF 732 / m_ / year
2 rooms ;; Apartment;;1203 Genève;Elevator access;Equipped kitchen;Bathtub in bathroom;CHF 1,660.-;—
3 rooms ;; Apartment;;1205 Genève;Equipped kitchen;Elevator access;Bathtub in bathroom;CHF 1,820.-;—
1.5 rooms ;; Apartment;;1205 Genève;Spacious living room;Equipped kitchen;Bathroom with tub;CHF 1,370.-;—
2 rooms ; 31 m_ ; Apartment;Rue Docteur-Alfred-Vincent 23; 1201 Genève;Central Pâquis location;Equipped kitchen;Shared laundry;CHF 1,400.-;CHF 542 / m_ / year
3 rooms ; 49 m_ ; Apartment;Rue Henri- Blanvalet 14; 1207 Genève;Equipped kitchen;Balcony;Cellar;On request;—
4 rooms ; 60 m_ ; Apartment;Route Des Acacias; 1227 Les Acacias;Ready to move in;Kitchen and living room;Balcony with park view;CHF 2,190.-;CHF 438 / m_ / year
3 rooms ; 47 m_ ; Apartment;;1205 Genève;Minutes from Plainpalais;Fully equipped kitchen;Spacious cellar;CHF 2,165.-;CHF 553 / m_ / year
3.5 rooms ; 87 m_ ; Apartment;Route de Florissant; 1206 Genève;Large sunny balcony;Modern kitchen & appliances;Private parking included;CHF 3,000.-;CHF 414 / m_ / year
5 rooms ; 117 m_ ; Apartment;Route De Frontenex 116; 1208 Genève;Spacious balcony;Equipped kitchen;Near Eaux-Vives park;CHF 4,000.-;CHF 410 / m_ / year
1 room ; 23 m_ ; Apartment;Rue Masbou 12; 1205 Genève;Trendy neighborhood vibes;Close to public transport;Convenient amenities nearby;CHF 1,380.-;CHF 720 / m_ / year
5 rooms ; 101 m_ ; Apartment;Rue De Moillebeau 3f; 1209 Genève;Bright and spacious living;Sunny balcony with views;Close to transport links;CHF 3,825.-;CHF 454 / m_ / year
2.5 rooms ; 37 m_ ; Apartment;;1204 Genève;Stunning Rhine views;1 min to bus & tram;Completely renovated;CHF 1,500.-;CHF 486 / m_ / year
9 rooms ; 350 m_ ; Apartment;Chemin De La Florence; 1208 Genève;Spacious triple living area;Modern kitchen with island;Two suites with loggia access;CHF 12,420.-;CHF 426 / m_ / year
4.5 rooms ; 102 m_ ; Apartment;Avenue De Miremont 15; 1206 Genève;Balcony with electric awning;Equipped kitchen, new dishwasher;Near Ceva and HUG;CHF 3,850.-;CHF 453 / m_ / year
3 rooms ; 72 m_ ; Apartment;Avenue Wendt 61; 1203 Genève;Convenient location near transport;Balcony;Fitted kitchen;CHF 2,200.-;CHF 367 / m_ / year
5 rooms ; 103 m_ ; Apartment;Rue Guye 1; 1203 Genève;Top floor location;Built-in wardrobes;Balcony;CHF 3,530.-;CHF 411 / m_ / year
4 rooms ; 92 m_ ; Apartment;Rue Des Glacis-De-Rive 21; 1207 Genève;Central Geneva location;Near lake & markets;Equipped kitchen;CHF 3,185.-;CHF 415 / m_ / year
3 rooms ; 74 m_ ; Apartment;Chemin Des Tulipiers 7; 1208 Genève;Charming balconies with views;Quiet residential neighborhood;High-end furnished and equipped;CHF 3,200.-;CHF 519 / m_ / year
3 rooms ; 51 m_ ; Apartment;Rue de Zurich 45; 1201 Genève;Equipped kitchen included;Close to Cornavin station;Secure entry with digicode;CHF 2,120.-;CHF 499 / m_ / year
1.5 rooms ; 17 m_ ; Apartment;Rue Du Stand 9; 1204 Genève;Bright living space;Vibrant urban area;Close to public transport;CHF 1,120.-;CHF 791 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;;1203 Genève;Spacious balcony view;Modern kitchen design;Quiet neighborhood charm;CHF 2,306.-;CHF 395 / m_ / year
2.5 rooms ;; Apartment;;1203 Genève;Mountain view balcony;Fully equipped kitchen;Convenient bus access;CHF 1,500.-;—
3 rooms ; 60 m_ ; Apartment;Rue Prévost-Martin; 1205 Genève;Sunny with 2 balconies;Elegant parquet flooring;Modern kitchen with comfort;CHF 2,600.-;CHF 520 / m_ / year
3 rooms ; 67 m_ ; Apartment;Route De Frontenex 60; 1207 Genève;Fully equipped kitchen;Cozy balcony space;Close to amenities;CHF 2,587.-;CHF 463 / m_ / year
3 rooms ; 70 m_ ; Duplex;Place Du Bourg-De-Four 28; 1204 Genève;Charming Old Town duplex;Bright living spaces with exposed beams;Central location;CHF 3,039.-;CHF 521 / m_ / year
5 rooms ; 115 m_ ; Apartment;Rue Crespin 20; 1206 Genève;Close to public transport;Open kitchen with dining;Balcony with nice view;CHF 3,750.-;CHF 391 / m_ / year
7 rooms ; 230 m_ ; Apartment;;1206 Genève;Top-floor apartment;Huge 140m2 terrace;Stunning country views;CHF 10,000.-;CHF 522 / m_ / year
4.5 rooms ; 95 m_ ; Apartment;Place De Jargonnant 3; 1207 Genève;Unique character features;Cozy decorative fireplace;Close to public transport;CHF 2,841.-;CHF 359 / m_ / year
5 rooms ; 135 m_ ; Apartment;Chemin De La Tour-De-Champel 2; 1206 Genève;Balcony and decorative fireplace;Equipped kitchen and washing machine;Secure access and parking;CHF 4,700.-;CHF 418 / m_ / year
3 rooms ; 54 m_ ; Attic flat;;1227 Les Acacias;Fully renovated interior;Bright living area;Storage space available;CHF 2,500.-;CHF 556 / m_ / year
77 m_ ;; Apartment;;1206 Genève;Bright living room;Fully equipped kitchen;Spacious cellar included;CHF 2,740.-;CHF 427 / m_ / year
4 rooms ; 106 m_ ; Apartment;Rue Pedro- Meylan 3; 1208 Genève;Spacious 106m_ layout;Balcony with great views;Free cellar included;CHF 3,400.-;CHF 385 / m_ / year
4.5 rooms ; 100 m_ ; Apartment;Rue De L' Athénée; 1206 Genève;Two sunny balconies;High ceilings throughout;Close to public transport;CHF 4,520.-;CHF 542 / m_ / year
1.5 rooms ; 21 m_ ; Apartment;Rue Joseph- Pasquier 1; 1203 Genève;Cozy living area;Modern kitchen design;Sunny balcony space;CHF 1,090.-;CHF 623 / m_ / year
3 rooms ;; Apartment;Rue Des Eaux-Vives; 1207 Genève;Modern kitchen with balcony;Close to Lake Geneva;Quick access to public transport;CHF 2,050.-;—
1 room ; 40 m_ ; Furnished apartment;Rue Du Commerce 3; 1204 Genève;Spacious attic with balcony;Central location in Geneva;Common laundry included;CHF 2,500.-;CHF 750 / m_ / year
1 room ; 15 m_ ; Apartment;Rue Louis-Favre 23; 1201 Genève;Immediate availability;Ideal for various businesses;Convenient underground access;CHF 136.-;CHF 109 / m_ / year
5 rooms ; 95 m_ ; Apartment;Rue Crespin; 1206 Genève;Spacious double living room;Three sunny balconies;Equipped kitchen with storage;CHF 2,750.-;CHF 347 / m_ / year
3 rooms ; 42 m_ ; Apartment;Rue De Zurich; 1201 Genève;Quiet courtyard access;Equipped modern kitchen;Secure building with video;CHF 1,921.-;CHF 549 / m_ / year
2 rooms ; 43 m_ ; Apartment;Rue De Lausanne 26; 1201 Genève;Fully furnished and equipped;Balcony with city views;Close to amenities and transport;CHF 1,990.-;CHF 555 / m_ / year
3 rooms ; 85 m_ ; Apartment;Boulevard Des Philosophes 2; 1205 Genève;Close to public transport;Steps from Plainpalais;Secure digital entry;CHF 2,620.-;CHF 370 / m_ / year
4.5 rooms ; 85 m_ ; Apartment;Rue Viollier 3; 1207 Genève;High ceilings & parquet floors;Surrounded by green parks;Close to public transport;CHF 3,320.-;CHF 469 / m_ / year
4 rooms ; 75 m_ ; Apartment;Rue Guillaume-Farel 12; 1204 Genève;Spectacular lake views;Spacious top floor living;Quiet park location;CHF 3,650.-;CHF 584 / m_ / year
2 rooms ; 40 m_ ; Apartment;;1204 Genève;Close to public transport;Charming living room space;Small balcony for relaxation;CHF 1,500.-;CHF 450 / m_ / year
4 rooms ; 72 m_ ; Apartment;Rue De La Servette 42; 1202 Genève;Close to Cornavin station;Spacious living room with balcony;Equipped kitchen for dining;CHF 2,790.-;CHF 465 / m_ / year
2 rooms ; 35 m_ ; Apartment;;1208 Genève;Spacious living area;Terrace with stunning views;Equipped kitchenette;CHF 1,500.-;CHF 514 / m_ / year
5 rooms ; 161 m_ ; Apartment;;1208 Genève;Spacious 98 m_ terrace;High-end finishes;Central location with amenities;CHF 7,780.-;CHF 580 / m_ / year
4 rooms ; 58 m_ ; Apartment;Rue Des Cordiers 5; 1207 Genève;Bright and spacious living area;Balcony access;Well-equipped kitchen;On request;—
7 rooms ;; Apartment;;1206 Genève;Stunning park view loggia;Close to shops and schools;Spacious living area with balcony;CHF 8,300.-;—
6 rooms ; 109 m_ ; Apartment;Rue Dizerens 4; 1205 Genève;Terrace and balcony;Equipped kitchen;Collective laundry room;CHF 3,200.-;CHF 352 / m_ / year
4 rooms ; 86 m_ ; Apartment;Rue De Hesse 2; 1204 Genève;Prestigious banking district;Recently renovated interiors;Private laundry option;CHF 2,995.-;CHF 418 / m_ / year
5.5 rooms ;; Apartment;Avenue De Champel 59; 1206 Genève;3 sunny balconies;Elevator & wheelchair access;Migros on the ground floor;CHF 4,125.-;—
5 rooms ; 95 m_ ; Apartment;Rue Henry-Spiess 1; 1208 Genève;Bright living room with balcony;Fully equipped kitchen;Elevator access to all floors;CHF 4,250.-;CHF 537 / m_ / year
6 rooms ; 174 m_ ; Apartment;Rue Du Rhône 59; 1204 Genève;Stunning fountain view;Modern fully equipped kitchen;Charming decorative fireplace;CHF 7,500.-;CHF 517 / m_ / year
1 room ; 15 m_ ; Apartment;Rue Louis-Favre 23; 1201 Genève;Immediate availability;Ideal for various businesses;Convenient underground access;CHF 136.-;CHF 109 / m_ / year
5 rooms ; 95 m_ ; Apartment;Rue Henry-Spiess 1; 1208 Genève;Bright living room with balcony;Fully equipped kitchen;Elevator access and cellar;CHF 4,000.-;CHF 505 / m_ / year
1 room ; 30 m_ ; Furnished apartment;Rue De Lausanne 68; 1202 Genève;Balcony overlooking courtyard;Equipped independent kitchenette;Internet and Wi-Fi included;CHF 2,200.-;CHF 880 / m_ / year
3 rooms ; 70 m_ ; Apartment;Rue De Contamines 35; 1206 Genève;Public transport nearby;Near Parc Bertrand;Secure building, elevators;CHF 2,845.-;CHF 488 / m_ / year
7.5 rooms ; 220 m_ ; Single house;;1207 Genève;Spacious 450 m2 garden;High-end finishes throughout;Home cinema & games room;CHF 10,000.-;CHF 545 / m_ / year
3 rooms ; 55 m_ ; Apartment;Rue De Chantepoulet; 1201 Genève;Next to Cornavin station;Spacious kitchen area;Convenient cellar storage;CHF 2,158.-;CHF 471 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;;1205 Genève;Elevator access;Two sunny balconies;Equipped kitchen;CHF 2,850.-;CHF 489 / m_ / year
1.5 rooms ;; Apartment;Rue Daubin; 1203 Genève;Bright natural light;Modern kitchen included;Quiet neighborhood location;CHF 2,800.-;—
5 rooms ; 85 m_ ; Apartment;;1201 Genève;Bright top-floor living;Balcony for outdoor space;Double parking included;CHF 1,850.-;CHF 261 / m_ / year
5 rooms ; 133 m_ ; Apartment;Boulevard De Saint-Georges 73; 1205 Genève;Spacious 133 m_ layout;Mezzanine for extra room;Prime location in Plainpalais;CHF 4,305.-;CHF 388 / m_ / year
4 rooms ; 80 m_ ; Apartment;Rue De La Terassière 28; 1207 Genève;Fully equipped kitchen;Bright living area;Individual cable network;CHF 3,487.-;CHF 523 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;;1201 Genève;Elevator access;Two sunny balconies;Fully equipped kitchen;CHF 2,850.-;CHF 489 / m_ / year
4 rooms ; 103 m_ ; Apartment;Allée Pic-Pic; 1203 Genève;25 m2 private terrace;Wellness area with saunas;Concierge service available;CHF 3,808.-;CHF 444 / m_ / year
6.5 rooms ; 162 m_ ; Apartment;Avenue De France 6; 1202 Genève;Decorative fireplace;Access to balcony;Spacious storage areas;CHF 6,500.-;CHF 481 / m_ / year
4 rooms ; 80 m_ ; Apartment;Rue Liotard; 1202 Genève;Spacious living area;Equipped kitchen;Built-in wardrobes;CHF 2,750.-;CHF 413 / m_ / year
4.5 rooms ;; Apartment;Rue De L' Industrie 20; 1201 Genève;Quiet area near center;Two sunny balconies;Private laundry room;CHF 2,490.-;—
4.5 rooms ; 135 m_ ; Apartment;;1202 Genève;Spacious terrace with views;Modern kitchen with high-end finishes;Secure building with concierge;CHF 4,500.-;CHF 400 / m_ / year
4 rooms ; 78 m_ ; Apartment;Rue Daubin 31; 1203 Genève;Spacious balcony for relaxation;Close to all amenities;Bright living area with charm;CHF 2,865.-;CHF 441 / m_ / year
2.5 rooms ; 46 m_ ; Apartment;Rue Docteur-Alfred-Vincent 7; 1201 Genève;Elevator access to 3rd floor;Spacious living area;Fully equipped kitchen;CHF 1,890.-;CHF 493 / m_ / year
4.5 rooms ; 125 m_ ; Apartment;;1208 Genève;Equipped kitchen;Terrace;Parking space included;CHF 4,150.-;CHF 398 / m_ / year
2 rooms ; 32 m_ ; Apartment;Rue Des Mouettes 7; 1227 Les Acacias;Quiet street location;Secure building entrance;Close to public transport;CHF 1,520.-;CHF 570 / m_ / year
3 rooms ; 60 m_ ; Apartment;Rue Caroline 34; 1227 Les Acacias;Bright open living space;Modern equipped kitchen;Spacious balcony for relaxation;CHF 2,410.-;CHF 482 / m_ / year
3 rooms ; 50 m_ ; Apartment;;1204 Genève;Minimum 50m_ space;Flexible rental options;Located in Geneva area;CHF 1,600.-;CHF 384 / m_ / year
5 rooms ; 100 m_ ; Apartment;;1208 Genève;Close to International School;Spacious balcony for relaxation;Modern renovated interiors;CHF 2,890.-;CHF 347 / m_ / year
1.5 rooms ; 23 m_ ; Apartment;Rue De La Colline; 1205 Genève;Next to Geneva Hospital;Secure building with lift;Common laundry and bike room;CHF 1,400.-;CHF 730 / m_ / year
3.5 rooms ;; Apartment;Avenue Du Devin-Du-Village; 1203 Genève;Bright living room alcove;Elevator access to 4th floor;Close to shops and transport;CHF 1,968.-;—
54 m_ ;; Single house;;1203 Genève;Fully equipped kitchen;Prime location for clients;Refrigerated display case;CHF 1,683.-;CHF 374 / m_ / year
1.5 rooms ; 40 m_ ; Apartment;Route De Florissant 86; 1206 Genève;Spacious balcony with view;Fully equipped kitchen;Quiet street, no noise;CHF 1,900.-;CHF 570 / m_ / year
4 rooms ; 78 m_ ; Apartment;Rue Du Conseil-Général 11; 1205 Genève;Quiet building with offices;Miele equipped kitchen;Large living room space;CHF 3,280.-;CHF 505 / m_ / year
1 room ;; Apartment;Rue Des Pâquis; 1201 Genève;Bright living area;Modern kitchen design;Close to Lake Geneva;CHF 1,800.-;—
4 rooms ;; Apartment;;1201 Genève;Bright open kitchen;Quiet top floor living;Prime city center location;CHF 2,203.-;—
6 rooms ; 179 m_ ; Apartment;;1206 Genève;Stunning views of Jet d'Eau;Bright with high ceilings;Prime location in Old Town;CHF 12,000.-;CHF 804 / m_ / year
4 rooms ; 127 m_ ; Apartment;Avenue De Miremont 40; 1206 Genève;Sunny balcony with park view;Equipped closed kitchen;Secure building with elevator;CHF 4,050.-;CHF 383 / m_ / year
3 rooms ; 34 m_ Plot ; Apartment;Boulevard De La Cluse 51; 1205 Genève;Close to public transport;Equipped kitchen included;Charming balcony space;CHF 1,600.-;—
5 rooms ; 125 m_ ; Apartment;Avenue Trembley 1; 1209 Genève;Private park view balcony;Equipped closed kitchen;Bike garage available;CHF 4,100.-;CHF 394 / m_ / year
6 rooms ; 166 m_ ; Apartment;Chemin Moïse- Duboule 47; 1209 Genève;Near international organizations;Shared laundry and bike storage;Two balconies and terrace;CHF 5,290.-;CHF 382 / m_ / year
5 rooms ; 124 m_ ; Apartment;Chemin Moïse- Duboule 33; 1209 Genève;Near international organizations;Park and shops nearby;Terrace and attic room;CHF 4,190.-;CHF 405 / m_ / year
5.5 rooms ; 135 m_ ; Apartment;;1206 Genève;Private laundry room;Balconies with views;Large cellar included;CHF 4,400.-;CHF 391 / m_ / year
8 rooms ; 219 m_ ; Apartment;Boulevard Des Tranchées 44; 1206 Genève;High ceilings with moldings;Elegant built-in bookcases;Close to city center;CHF 7,100.-;CHF 389 / m_ / year
3 rooms ; 60 m_ ; Attic flat;Rue De La Bourse 10; 1204 Genève;Elegant entrance hall;Modern equipped kitchen;Bright and quiet living space;CHF 2,350.-;CHF 470 / m_ / year
1 room ; 17 m_ ; Apartment;Avenue De France 23; 1202 Genève;Stylish shared kitchen;Proximity to Lake Geneva;Vibrant local nightlife;CHF 1,190.-;CHF 840 / m_ / year
4.5 rooms ;; Apartment;;1205 Genève;Elevator access to 2nd floor;Equipped kitchen for chefs;Optional parking space available;CHF 2,580.-;—
7 rooms ; 166 m_ ; Apartment;Boulevard Des Tranchées 46; 1206 Genève;Bright, cross-ventilated;Classic building style;Balcony with beautiful views;CHF 6,800.-;CHF 492 / m_ / year
6.5 rooms ; 170 m_ ; Apartment;Avenue Eugène- Pittard 11; 1206 Genève;Spacious 50m_ living room;Balcony with pleasant views;Close to public transport;CHF 6,200.-;CHF 438 / m_ / year
3 rooms ; 100 m_ ; Apartment;Rue Des Epinettes; 1227 Les Acacias;Triple-glazed windows;Quiet courtyard view;High-end kitchen amenities;CHF 3,500.-;CHF 420 / m_ / year
3 rooms ; 50 m_ ; Apartment;Route Des Acacias; 1227 Les Acacias;Spacious terrace for relaxation;Close to university and city;Fully furnished and equipped;CHF 1,800.-;CHF 432 / m_ / year
4 rooms ; 107 m_ ; Apartment;Chemin Des Crêts 19; 1209 Genève;Large 65 m_ terrace;Exclusive resident-only SPA;Smart Home system included;CHF 6,500.-;CHF 729 / m_ / year
1.5 rooms ; 23 m_ ; Furnished apartment;Quai Du Seujet; 1201 Genève;Modern co-living space;Equipped shared kitchen;Billiard and TV lounge;CHF 1,880.-;CHF 981 / m_ / year
6 rooms ; 183 m_ ; Furnished apartment;Rue Des Pavillons 5; 1205 Genève;Spacious terrace & garden;Bright with large windows;Modern kitchen with island;CHF 7,500.-;CHF 492 / m_ / year
1.5 rooms ;; Apartment;;1202 Genève;Fully furnished living space;Equipped kitchen included;Elevator access to 3rd floor;CHF 1,340.-;—
1.5 rooms ;; Furnished apartment;Rue Des Charmilles; 1203 Genève;Bright top-floor unit;Equipped kitchen included;Elevator and bike storage;CHF 2,300.-;—
4 rooms ; 92 m_ ; Apartment;La Voie-Creuse 5a; 1202 Genève;Balcony with great views;Equipped modern kitchen;Close to public transport;CHF 3,680.-;CHF 480 / m_ / year
5.5 rooms ;; Furnished apartment;Rue Leschot 2; 1205 Genève;Open kitchen to dining;Bright living room;Characterful central location;On request;—
4.5 rooms ;; Furnished apartment;Rue Des Pâquis 51; 1201 Genève;Renovated kitchen;Master bedroom with dressing;Balcony with city view;On request;—
7 rooms ;; Furnished apartment;Chemin Colladon 24; 1209 Genève;Large living area;Modern kitchen;Elevator access;On request;—
4 rooms ; 83 m_ ; Apartment;Rue De Lausanne 45; 1201 Genève;5 min walk to train station;Modern kitchen with dishwasher;Optional garage parking space;CHF 2,345.-;CHF 339 / m_ / year
2 rooms ; 47 m_ ; Apartment;Rue De Neuchâtel 24; 1201 Genève;Steps to shopping center;Close to the lake;Vibrant neighborhood charm;CHF 1,475.-;CHF 377 / m_ / year
5 rooms ;; Apartment;Route De Malagnou 25; 1208 Genève;Bright living room with balcony;Equipped modern kitchen;Two stylish bathrooms;CHF 4,700.-;—
2 rooms ; 38 m_ ; Apartment;Rue Du Môle 42; 1201 Genève;Newly renovated apartment;Near station and lake;With balcony;CHF 1,790.-;CHF 565 / m_ / year
4 rooms ; 105 m_ ; Apartment;Boulevard Georges- Favon 16; 1204 Genève;Charming decorative fireplaces;Balcony with city views;Equipped modern kitchen;On request;—
6 rooms ; 153 m_ ; Apartment;Rue Abraham- Gevray 3; 1201 Genève;3 sunny balconies;Elevator access;2 modern bathrooms;CHF 3,800.-;CHF 298 / m_ / year
3 rooms ; 60 m_ ; Apartment;Rue Henri- Blanvalet; 1207 Genève;High ceilings and parquet;Equipped kitchen included;Private cellar storage;CHF 1,805.-;CHF 361 / m_ / year
2 rooms ; 55 m_ ; Apartment;;1206 Genève;High floor with lifts;Private balcony space;Parking included;CHF 2,095.-;CHF 457 / m_ / year
2 rooms ; 30 m_ ; Furnished apartment;;1202 Genève;All utilities included;Weekly cleaning service;Bedding provided;CHF 1,000.-;CHF 400 / m_ / year
16 m_ ;; Apartment;Quai Charles- Page 41; 1205 Genève;Convenient basement location;Ideal for secure storage;Easy access for loading;CHF 200.-;CHF 150 / m_ / year
4 rooms ; 77 m_ ; Apartment;Rue Louis- Curval 3; 1206 Genève;Spacious balcony access;Modern open kitchen;Close to public transport;On request;—
