number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
3 rooms ; 75 m_ ; Apartment;Chemin De Boissonnet; 1010 Lausanne;Quiet location by the Flon river;Modern kitchen;Balcony;CHF 2,014.-;CHF 322 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Avenue Frédéric Recordon 2; 1004 Lausanne;Spacious living area;Two large balconies;Modern kitchen;CHF 2,005.-;CHF 437 / m_ / year
5.5 rooms ; 108 m_ ; Duplex;Chemin De Renens 2; 1004 Lausanne;Near public transport, shops & schools;Open kitchen & dining area;Spacious terrace;CHF 3,150.-;CHF 350 / m_ / year
3.5 rooms ; 77 m_ ; Apartment;Avenue Des Boveresses 31b; 1010 Lausanne;Near forest and vita course;Kitchen with dishwasher;5 min to highway;CHF 1,869.-;CHF 291 / m_ / year
3 rooms ; 83 m_ ; Apartment;Chemin Des Clochetons 6; 1004 Lausanne;Near the park and city center;Three spacious balconies;Kitchen with dishwasher;CHF 2,110.-;CHF 305 / m_ / year
2 rooms ; 89 m_ ; Apartment;Chemin Du Cap 17; 1006 Lausanne;Private garden;Open kitchen;Near transport;CHF 2,300.-;CHF 310 / m_ / year
2.5 rooms ; 75 m_ ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;75m_ living space;Sunny balcony;Central, quiet location;CHF 1,983.-;CHF 317 / m_ / year
2 rooms ; 55 m_ ; Apartment;Rue Dr. César-Roux 14; 1005 Lausanne;Near city center;Balcony;Equipped kitchen;CHF 1,225.-;CHF 267 / m_ / year
2 rooms ; 44 m_ ; Apartment;Rue Du Maupas 65; 1004 Lausanne;Central and quiet location;Equipped kitchen;Group visit possible;CHF 1,442.-;CHF 393 / m_ / year
3.5 rooms ; 82 m_ ; Apartment;;1004 Lausanne;Modern and bright;Large balcony;Green areas;CHF 2,237.-;CHF 327 / m_ / year
5 rooms ; 140 m_ ; Apartment;;1004 Lausanne;Exceptional lake view;Bright and spacious rooms;Close to public transport;CHF 3,900.-;CHF 334 / m_ / year
6.5 rooms ; 175 m_ ; Apartment;Chemin Du Devin 47b; 1012 Lausanne;200 sqm terrace with lake view;Exclusive pool for residents;Close to international school;CHF 6,200.-;CHF 425 / m_ / year
2.5 rooms ;; Apartment;Avenue Du Temple 13b; 1012 Lausanne;Quiet residence with balcony;Fully equipped kitchen;Close to public transport;CHF 1,815.-;—
4.5 rooms ; 100 m_ ; Apartment;Chemin De Beau-Rivage; 1006 Lausanne;Lake view;Large balcony;Quiet location;CHF 3,300.-;CHF 396 / m_ / year
1 room ; 22 m_ ; Apartment;Rue De L'ale 7; 1003 Lausanne;Modern furnishings included;Bright and airy space;Convenient city location;CHF 1,250.-;CHF 682 / m_ / year
3.5 rooms ; 63 m_ ; Apartment;Rue Saint-Martin 32; 1005 Lausanne;Bright rooms with parquet flooring;Balcony;Close to amenities;CHF 1,957.-;CHF 373 / m_ / year
2.5 rooms ; 45 m_ ; Attic flat;Avenue De Morges 76; 1004 Lausanne;Sunny balcony with lake view;Bright apartment, 5th floor;Cellar and parking included;CHF 1,500.-;CHF 400 / m_ / year
2 rooms ; 52 m_ ; Apartment;Avenue Du Tribunal-Fédéral 36; 1005 Lausanne;Quiet neighborhood;Near shops and city center;Bedroom with balcony;CHF 1,580.-;CHF 365 / m_ / year
3.5 rooms ; 91 m_ ; Apartment;Avenue Alexandre-Vinet 27; 1004 Lausanne;Near Lausanne Cathedral;Ground floor apartment;Outdoor parking available;CHF 1,860.-;CHF 245 / m_ / year
3.5 rooms ;; Apartment;;1004 Lausanne;Close to public transport;Balcony or terrace desired;Quiet and respectful tenant;CHF 1,800.-;—
1.5 rooms ; 29 m_ ; Apartment;Rue Du Grand-Pré 8; 1007 Lausanne;Elevator access to 4th floor;Private balcony with lighting;Close to public transport;CHF 1,301.-;CHF 538 / m_ / year
5.5 rooms ; 123 m_ ; Apartment;Avenue Juste-Olivier; 1006 Lausanne;4 Balconies with Lake View;Fully Renovated Interior;Private Parking Available;CHF 4,400.-;CHF 429 / m_ / year
2 rooms ; 40 m_ ; Apartment;Boulevard de Grancy 46; 1006 Lausanne;Completely renovated in 2021;Modern kitchen with appliances;Convenient location near station;CHF 1,550.-;CHF 465 / m_ / year
2 rooms ; 35 m_ ; Apartment;Place De La Palud; 1003 Lausanne;Bright living area;Equipped kitchen;Central location;CHF 1,190.-;CHF 408 / m_ / year
2.5 rooms ; 52 m_ ; Apartment;Route De Chavannes 62; 1007 Lausanne;Bright loggia with view;Washer/dryer in apartment;Quiet location near highway;CHF 1,710.-;CHF 395 / m_ / year
2.5 rooms ; 64 m_ ; Apartment;Avenue Des Boveresses 6; 1010 Lausanne;Bright living room with balcony;New triple-glazed windows;Private cellar storage;CHF 1,985.-;CHF 372 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Avenue Du Denantou 25; 1006 Lausanne;Quiet neighborhood retreat;Balcony with lake views;Close to public transport;CHF 1,748.-;CHF 350 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Chemin Du Devin 8; 1012 Lausanne;Modern open kitchen;Recently renovated;Quiet neighborhood;CHF 2,050.-;CHF 378 / m_ / year
4.5 rooms ; 90 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 45; 1007 Lausanne;Bright 3 cozy bedrooms;Fully equipped kitchen;Close to metro and lake;CHF 1,750.-;CHF 233 / m_ / year
3.5 rooms ; 90 m_ ; Apartment;Avenue De Morges 145; 1004 Lausanne;Underfloor heating;Garden view;Spacious basement;CHF 2,350.-;CHF 313 / m_ / year
2.5 rooms ; 70 m_ ; Apartment;Avenue De L'église-Anglaise 6; 1006 Lausanne;Fully renovated interiors;Prime location near amenities;Spacious 70m2 living area;CHF 2,700.-;CHF 463 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Cellar available;Parking available;CHF 2,085.-;CHF 329 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Balcony available;Cellar included;CHF 2,180.-;CHF 327 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Renovated building;Office room included;Parking available;CHF 2,080.-;CHF 328 / m_ / year
3 rooms ; 77 m_ ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Balcony;Cellar and parking;CHF 2,090.-;CHF 326 / m_ / year
2.5 rooms ; 70 m_ ; Apartment;Avenue de l'Université 24; 1005 Lausanne;Close to public transport;Spacious living area;Modern kitchen amenities;CHF 1,870.-;CHF 321 / m_ / year
3 rooms ; 57 m_ ; Apartment;Chemin Vermont 22; 1006 Lausanne;Ground floor apartment;Equipped kitchen;Terrace;CHF 1,559.-;CHF 328 / m_ / year
4 rooms ; 84 m_ ; Apartment;Chemin De Renens 22; 1004 Lausanne;Quiet green neighborhood;Fully equipped kitchen;Balcony with nice view;CHF 2,020.-;CHF 289 / m_ / year
1 room ; 20 m_ ; Studio;Chemin Du Devin 47c; 1012 Lausanne;Bright living space;Equipped kitchen;Shared swimming pool;CHF 1,250.-;CHF 750 / m_ / year
1 room ; 40 m_ ; Apartment;Avenue Victor-Ruffy 32; 1012 Lausanne;Close to amenities;Well-equipped kitchen;Flexible hall space;CHF 1,250.-;CHF 375 / m_ / year
2 rooms ; 58 m_ ; Apartment;Rue Du Petit-Beaulieu; 1004 Lausanne;Equipped kitchen included;Bright living area;Close to city amenities;CHF 1,630.-;CHF 337 / m_ / year
1 room ; 30 m_ ; Apartment;Chemin De Boston; 1004 Lausanne;Spacious balcony with view;Modern Italian shower;Fully furnished and equipped;CHF 1,500.-;CHF 600 / m_ / year
1.5 rooms ; 30 m_ ; Apartment;Avenue De La Gare 40; 1003 Lausanne;Near train station & metro;Garden view;Fully furnished;CHF 1,900.-;CHF 760 / m_ / year
1.5 rooms ; 38 m_ ; Apartment;Rue Du Flon 12; 1003 Lausanne;Modern and fully furnished;Equipped kitchen and dining area;Near the metro;CHF 2,000.-;CHF 632 / m_ / year
2.5 rooms ; 57 m_ ; Apartment;Route Du Pavement 79b; 1018 Lausanne;No deposit required;Close to city and nature;Private terrace included;CHF 1,830.-;CHF 385 / m_ / year
5 rooms ; 162 m_ ; Apartment;Avenue Du Léman 30; 1005 Lausanne;Exceptional lake view;Spacious south terrace;Fully equipped kitchen;CHF 4,483.-;CHF 332 / m_ / year
3.5 rooms ; 63 m_ ; Apartment;Rue Saint-Martin 32; 1005 Lausanne;Sunny balcony for relaxation;Open kitchen with living area;Cozy parquet flooring throughout;CHF 1,990.-;CHF 379 / m_ / year
2.5 rooms ; 50 m_ ; Apartment;Avenue de France; 1004 Lausanne;Prime location in Lausanne;Fully equipped kitchen;Laundry facilities available;CHF 1,750.-;CHF 420 / m_ / year
2.5 rooms ; 67 m_ ; Apartment;;1004 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 1,840.-;CHF 330 / m_ / year
3 rooms ; 62 m_ ; Apartment;Chemin des Glycines 2; 1004 Lausanne;Quiet zone 30 location;Close to shops and parks;Ideal for family living;CHF 1,750.-;CHF 339 / m_ / year
1 room ; 37 m_ ; Apartment;Chemin Antoine-De-Chandieu 22; 1006 Lausanne;Equipped separate kitchen;Balcony with quiet view;Shared laundry facilities;CHF 1,090.-;CHF 354 / m_ / year
4 rooms ; 111 m_ ; Apartment;Chemin De Mornex 17; 1003 Lausanne;Spacious living areas;Elegant wooden floors;Bright, peaceful location;CHF 3,200.-;CHF 346 / m_ / year
2.5 rooms ; 48 m_ ; Apartment;Chemin Riant-Pré; 1010 Lausanne;Spacious 16m2 balcony;Includes private parking box;Convenient metro access;CHF 1,650.-;CHF 413 / m_ / year
6.5 rooms ; 170 m_ ; Attic flat;Rue Du Maupas 49; 1004 Lausanne;Panoramic terrace 150m2;Open kitchen with fireplace;Winter garden included;CHF 4,400.-;CHF 311 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Avenue Des Boveresses 31a; 1010 Lausanne;Close to Monts-de-Pully;Equipped kitchen included;Balcony with scenic views;CHF 1,318.-;CHF 288 / m_ / year
1 room ; 35 m_ ; Apartment;Avenue De Solange 2; 1006 Lausanne;11 min walk to HEMU;12 min walk to train station;Practical and central location;CHF 1,250.-;CHF 429 / m_ / year
3.5 rooms ; 90 m_ ; Apartment;Rue De La Pontaise 15; 1018 Lausanne;Historic building charm;Modern open kitchen;Private terrace space;CHF 2,850.-;CHF 380 / m_ / year
4.5 rooms ; 100 m_ ; Furnished apartment;Chemin Du Closelet 6; 1006 Lausanne;7 min to Lausanne center;Fully equipped kitchen;Balcony with city view;CHF 3,800.-;CHF 456 / m_ / year
4.5 rooms ; 103 m_ ; Apartment;Avenue De La Vallombreuse 52; 1004 Lausanne;Ideal for shared living;Close to bus stop;Underground parking available;CHF 2,950.-;CHF 344 / m_ / year
2.5 rooms ;; Apartment;Rue Saint-Roch 30; 1004 Lausanne;Bright and modern design;Spacious entrance hall;Elevator access available;CHF 1,646.-;—
3.5 rooms ; 90 m_ ; Apartment;Avenue Gabriel-De-Rumine 30; 1005 Lausanne;Stunning lake views;Spacious living area;Access to communal garden;CHF 3,250.-;CHF 433 / m_ / year
1.5 rooms ; 25 m_ ; Apartment;Place de la Sallaz; 1010 Lausanne;Open equipped kitchen;Cozy living area;Bathtub in bathroom;CHF 850.-;CHF 408 / m_ / year
1.5 rooms ; 37 m_ ; Apartment;;1012 Lausanne;Designer furnished interior;Southeast view with balcony;Quiet residential area;CHF 1,600.-;CHF 519 / m_ / year
3 rooms ; 65 m_ ; Apartment;;1007 Lausanne;Quiet inner courtyard;South-west facing;Close to public transport;CHF 2,000.-;CHF 369 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Route D'oron 14d; 1010 Lausanne;Cozy living room balcony;Functional separate kitchen;Close to shops and parks;CHF 1,786.-;CHF 330 / m_ / year
3 rooms ; 60 m_ ; Apartment;Avenue De Cour 82; 1007 Lausanne;Bright lake view;Fully equipped kitchen;Close to public transport;CHF 2,000.-;CHF 400 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Chemin Des Sorbiers; 1012 Lausanne;Stunning lake views;Top floor tranquility;All-inclusive rent;CHF 2,300.-;CHF 502 / m_ / year
4 rooms ;; Apartment;;1005 Lausanne;Prime location in city center;Modern amenities throughout;Spacious balcony with views;CHF 2,400.-;—
4 rooms ; 77 m_ ; Apartment;Avenue Du Mont-Blanc 3; 1018 Lausanne;Close to city center;Equipped kitchen;Balcony with view;CHF 1,970.-;CHF 307 / m_ / year
2.5 rooms ; 81 m_ ; Apartment;Avenue De Cour 155; 1007 Lausanne;Stunning lake views;Sunny balcony space;Close to city center;CHF 2,300.-;CHF 341 / m_ / year
5.5 rooms ; 135 m_ ; Apartment;Rue Pré-Du-Marché 1; 1003 Lausanne;Flexible room layout;Central location;Balcony with city view;CHF 3,200.-;CHF 284 / m_ / year
2.5 rooms ; 62 m_ ; Apartment;;1004 Lausanne;Two sunny balconies;Beautiful view;Quiet, prime location;CHF 1,707.-;CHF 330 / m_ / year
2.5 rooms ; 65 m_ ; Apartment;Chemin De Renens 20; 1004 Lausanne;Quiet green neighborhood;Close to Valency Park;Pet-friendly living space;CHF 1,770.-;CHF 327 / m_ / year
2.5 rooms ; 49 m_ ; Penthouse;Avenue Collonges 12; 1004 Lausanne;Quiet neighborhood location;Spacious terrace for relaxation;Close to public transport;CHF 1,405.-;CHF 344 / m_ / year
4.5 rooms ; 85 m_ ; Apartment;Chemin De Champ-Soleil 11; 1012 Lausanne;Newly fitted kitchen;Spacious living area;Mandatory garage or parking;CHF 2,410.-;CHF 340 / m_ / year
2.5 rooms ; 47 m_ ; Apartment;Chemin Du Boisy 35; 1004 Lausanne;Cozy balcony for relaxation;Charming building in city center;Additional outdoor parking option;CHF 1,490.-;CHF 380 / m_ / year
2 rooms ; 68 m_ ; Apartment;Avenue Du Léman 21; 1005 Lausanne;Close to bus station and city center;Newly renovated, high-quality finishes;Cellar and parking available;CHF 2,400.-;CHF 424 / m_ / year
5.5 rooms ; 135 m_ ; Furnished apartment;;1004 Lausanne;Bright living room with lake view;Equipped kitchen for convenience;Balcony for outdoor relaxation;CHF 3,840.-;CHF 341 / m_ / year
5 rooms ; 102 m_ ; Apartment;Avenue Du Léman 2; 1005 Lausanne;Completely renovated interior;Elevator access available;Sunny balcony for relaxation;CHF 3,850.-;CHF 453 / m_ / year
2.5 rooms ; 58 m_ ; Apartment;Chemin Du Chasseron 6; 1004 Lausanne;Stunning lake and mountain views;Modern kitchen with top appliances;Quiet yet central location;CHF 2,480.-;CHF 513 / m_ / year
2.5 rooms ; 32 m_ ; Apartment;Avenue D'echallens 88; 1004 Lausanne;Equipped open kitchen;Close to amenities;Includes a cellar;CHF 1,600.-;CHF 600 / m_ / year
4.5 rooms ; 120 m_ ; Apartment;Route De Berne 111; 1010 Lausanne;Spacious private garden;Open-plan living area;Secure building entrance;CHF 3,020.-;CHF 302 / m_ / year
3 rooms ; 85 m_ ; Studio;Avenue D'echallens 133; 1004 Lausanne;Spacious living room with balcony;Historic building charm;Ideal location in city center;CHF 2,150.-;CHF 304 / m_ / year
3.5 rooms ;; Apartment;;1000 Lausanne;Shared kitchen and living room;Close to public transport;Nearby grocery stores;CHF 850.-;—
1 room ; 27 m_ ; Apartment;Route Du Pavement 48; 1018 Lausanne;Bright living area;Modern equipped kitchen;Mountain view windows;CHF 1,270.-;CHF 564 / m_ / year
4.5 rooms ; 100 m_ ; Apartment;;1004 Lausanne;Bright private garden;Fully renovated in 2023;Close to transport links;CHF 2,920.-;CHF 350 / m_ / year
2.5 rooms ; 62 m_ ; Apartment;Chemin De Bérée 12; 1010 Lausanne;2 min to metro station;Pet-friendly living space;Wheelchair accessible design;CHF 1,920.-;CHF 372 / m_ / year
3.5 rooms ; 95 m_ ; Apartment;;1010 Lausanne;Open-plan living area;Wrap-around balcony;Quiet neighborhood access;CHF 2,900.-;CHF 366 / m_ / year
2.5 rooms ;; Apartment;;1005 Lausanne;Fully equipped kitchen;Close to public transport;Cozy living space;CHF 1,800.-;—
4.5 rooms ; 95 m_ ; Furnished apartment;Avenue D'ouchy 57; 1006 Lausanne;Near Lake Geneva;Fully furnished;Balcony with view;CHF 3,900.-;CHF 493 / m_ / year
3 rooms ; 72 m_ ; Apartment;Chemin Benjamin-Dumur 4; 1004 Lausanne;Close to public transport;Equipped modern kitchen;Balcony with city views;CHF 2,150.-;CHF 358 / m_ / year
4.5 rooms ; 189 m_ ; Apartment;Route De La Feuillère 29; 1010 Lausanne;Spacious terrace for relaxation;Functional layout for families;Indoor parking available;CHF 3,700.-;CHF 235 / m_ / year
4.5 rooms ; 101 m_ ; Apartment;Avenue Juste-Olivier; 1006 Lausanne;Stunning lake and mountain views;Modern kitchen with wine cellar;Three balconies for relaxation;CHF 4,010.-;CHF 476 / m_ / year
1 room ; 26 m_ ; Apartment;Rue Du Clos-De-Bulle 5; 1004 Lausanne;Heart of the city;Close to public transport;Convenient storage space;CHF 920.-;CHF 425 / m_ / year
1.5 rooms ; 25 m_ ; Apartment;Avenue De Tivoli 70; 1007 Lausanne;Open kitchen design;24/7 emergency service;15% rent guarantee discount;CHF 950.-;CHF 456 / m_ / year
5 rooms ; 126 m_ ; Apartment;Avenue De Sévelin 4a; 1007 Lausanne;Close to public transport;Balcony with city views;Near shops and schools;CHF 3,205.-;CHF 305 / m_ / year
3.5 rooms ; 84 m_ ; Apartment;Avenue Jomini 5; 1004 Lausanne;Balcony with great views;Modern open kitchen;Included indoor parking;CHF 2,350.-;CHF 336 / m_ / year
1 room ; 18 m_ ; Apartment;Chemin De La Prairie 62; 1007 Lausanne;Near EPFL & University;Quiet & convenient location;No rental guarantee required;CHF 930.-;CHF 620 / m_ / year
3.5 rooms ; 67 m_ ; Apartment;Chemin De La Vulliette 18; 1000 Lausanne;Sunny balcony access;Open, equipped kitchen;Quiet neighborhood location;CHF 2,550.-;CHF 457 / m_ / year
3.5 rooms ; 65 m_ ; Apartment;Avenue Du Grey 76; 1018 Lausanne;Quiet location;Beautiful parquet;Functional kitchen;CHF 1,390.-;CHF 257 / m_ / year
4.5 rooms ; 103 m_ ; Apartment;Avenue Du Grey 76; 1018 Lausanne;Quiet location with access;Beautiful parquet flooring;Functional kitchen & balcony;CHF 1,550.-;CHF 181 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Avenue Du Grey 76; 1018 Lausanne;Quiet location with access;Beautiful parquet flooring;Functional kitchen & balcony;CHF 1,390.-;CHF 238 / m_ / year
4.5 rooms ; 97 m_ ; Apartment;Avenue Du Grey 76; 1018 Lausanne;Quiet location with access;Beautiful parquet flooring;Functional kitchen & balcony;CHF 1,790.-;CHF 221 / m_ / year
4 rooms ;; Duplex;Rue Des Jardins 7; 1018 Lausanne;Open-plan kitchen;Close to public transport;Indoor parking available;CHF 2,600.-;—
3.5 rooms ;; Apartment;Avenue De Sévelin 13b; 1004 Lausanne;Modern apartment on the 5th floor;Quiet location, near Flon;Balcony with mountain view;CHF 2,468.-;—
1 room ; 21 m_ ; Apartment;Avenue De Cour 65; 1007 Lausanne;Central location near lake;Quiet neighborhood ambiance;Ideal for students;CHF 1,090.-;CHF 623 / m_ / year
3 rooms ; 68 m_ ; Apartment;;1012 Lausanne;Sunny balcony for relaxation;Spacious living area;Renovated building in 2021;CHF 2,260.-;CHF 399 / m_ / year
2.5 rooms ; 69 m_ ; Apartment;Rue Des Terreaux; 1003 Lausanne;Fully renovated in 2021;Bright with balcony view;Elevator access to 6th floor;CHF 2,054.-;CHF 357 / m_ / year
1.5 rooms ; 32 m_ ; Apartment;Avenue D'echallens 59; 1004 Lausanne;Steps from Valency Park;Balcony with lake view;24/7 emergency service;CHF 1,015.-;CHF 381 / m_ / year
3 rooms ;; Apartment;;1005 Lausanne;Ideal for family upgrade;Located in Rue Marterey;Max rent 2'800 CHF;CHF 1,710.-;—
2.5 rooms ;; Apartment;;1018 Lausanne;Ideal for single parents;Close to schools and parks;Affordable rent under CHF 1500;CHF 1,400.-;—
2.5 rooms ; 65 m_ ; Apartment;Place Chauderon; 1003 Lausanne;All utilities included;Stunning lake view;Spacious living area;CHF 1,960.-;CHF 362 / m_ / year
3.5 rooms ; 89 m_ ; Apartment;Avenue Louis-Ruchonnet; 1003 Lausanne;Renovated kitchen & bath;Spacious hallway area;Quiet courtyard bedroom;CHF 2,535.-;CHF 342 / m_ / year
4 rooms ; 92 m_ ; Apartment;Avenue Jomini 13; 1018 Lausanne;Spacious living with balcony;Decorative fireplace charm;Private garden access;CHF 3,480.-;CHF 454 / m_ / year
2 rooms ; 47 m_ ; Apartment;Rue De La Pontaise 41; 1018 Lausanne;Near city center;Charming old building;Cellar included;CHF 1,530.-;CHF 391 / m_ / year
3 rooms ; 57 m_ ; Apartment;Avenue De La Chablière 54; 1004 Lausanne;Bright living room with balcony;Fully equipped kitchen;Quiet neighborhood, close to center;CHF 1,775.-;CHF 374 / m_ / year
2.5 rooms ; 49 m_ ; Apartment;Route Des Plaines-Du-Loup 78; 1018 Lausanne;Newly built in 2023;Open kitchen with amenities;Quiet and secure building;CHF 1,520.-;CHF 372 / m_ / year
2 rooms ; 47 m_ ; Apartment;Route Aloys-Fauquez 149; 1018 Lausanne;Close to Lake Sauvabelin;Balcony with great views;Near public transport;CHF 1,500.-;CHF 383 / m_ / year
5 rooms ; 126 m_ ; Apartment;Avenue De Sévelin 4a; 1007 Lausanne;Close to public transport;Balcony with city views;Near shops and schools;CHF 3,205.-;CHF 305 / m_ / year
3 rooms ; 89 m_ ; Apartment;Avenue Louis-Ruchonnet 8; 1003 Lausanne;Close to public transport;Spacious living area;Modern equipped kitchen;CHF 2,745.-;CHF 370 / m_ / year
3 rooms ; 56 m_ ; Apartment;Route D'oron 25; 1010 Lausanne;Sunny balcony with views;Modern open kitchen;Convenient storage space;CHF 1,640.-;CHF 351 / m_ / year
4.5 rooms ; 100 m_ ; Apartment;Avenue Édouard-Dapples; 1006 Lausanne;Spacious 100m2 flat;Balcony with stunning view;Close to metro & amenities;CHF 3,490.-;CHF 419 / m_ / year
3 rooms ; 80 m_ ; Apartment;Avenue De Tivoli 26; 1007 Lausanne;Spacious living area;Large balcony for relaxation;Strategic location near transport;CHF 2,450.-;CHF 368 / m_ / year
4 rooms ; 100 m_ ; Apartment;Route Du Pavement 34; 1018 Lausanne;Renovated in 2022;Family-friendly atmosphere;Close to forest and shops;CHF 2,750.-;CHF 330 / m_ / year
5 rooms ; 125 m_ ; Apartment;Avenue De Sévelin 4a; 1007 Lausanne;Bright and spacious layout;Modern kitchen with dishwasher;Long balcony for relaxation;CHF 3,191.-;CHF 306 / m_ / year
1 room ; 21 m_ ; Apartment;Rue Saint-Laurent 33; 1003 Lausanne;Modern and stylish decor;Fully equipped kitchen;Prime location near Flon;CHF 1,680.-;CHF 960 / m_ / year
2 rooms ; 70 m_ ; Apartment;Rue De L'ale 38; 1003 Lausanne;Spacious living area;Equipped kitchen;Close to public transport;CHF 1,567.-;CHF 269 / m_ / year
4.5 rooms ; 104 m_ ; Apartment;Route De La Feuillère 27; 1010 Lausanne;Spacious balcony for relaxation;Modern open kitchen design;Family-friendly play area nearby;CHF 3,241.-;CHF 374 / m_ / year
4 rooms ; 91 m_ ; Apartment;Avenue De Florimont 5; 1006 Lausanne;Bright living room;Cozy balcony space;Quiet neighborhood;CHF 3,015.-;CHF 398 / m_ / year
5 rooms ; 98 m_ ; Apartment;Rue De La Louve 12; 1003 Lausanne;Spacious south-facing balcony;Equipped modern kitchen;Historic cement tile flooring;CHF 3,270.-;CHF 400 / m_ / year
2.5 rooms ; 70 m_ ; Apartment;Chemin de la Vuachère; 1005 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 1,968.-;CHF 337 / m_ / year
2.5 rooms ; 44 m_ ; Apartment;Rue Docteur César-Roux; 1005 Lausanne;Stunning city views;Bright living space;Close to public transport;CHF 1,399.-;CHF 382 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Avenue de l'Elysée 13; 1006 Lausanne;Quiet location near tennis;Large cellar for storage;10 min walk to train station;CHF 1,938.-;CHF 388 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;Bright and airy living room;West-facing loggia;Close to public transport;CHF 2,097.-;CHF 315 / m_ / year
4 rooms ; 100 m_ ; Apartment;Avenue De La Gare 22; 1003 Lausanne;High ceilings & parquet;Balcony with mountain view;Close to Lausanne station;CHF 2,950.-;CHF 354 / m_ / year
5 rooms ; 125 m_ ; Apartment;Avenue Des Mousquines 38; 1005 Lausanne;Historic building from 1910;Two sunny balconies;Quiet, sought-after area;CHF 4,080.-;CHF 392 / m_ / year
1.5 rooms ; 40 m_ ; Apartment;Avenue De Sévelin 13f; 1004 Lausanne;Private terrace for relaxation;Equipped kitchen with appliances;Close to Flon district amenities;CHF 1,317.-;CHF 395 / m_ / year
3.5 rooms ; 73 m_ ; Apartment;Chemin Du Levant 139; 1005 Lausanne;Bright living room space;Spacious fitted kitchen;Balcony with green view;CHF 2,075.-;CHF 341 / m_ / year
2.5 rooms ; 50 m_ ; Apartment;Rue Marterey 20; 1005 Lausanne;Balcony with city view;Equipped kitchen essentials;Close to public transport;CHF 2,150.-;CHF 516 / m_ / year
2 rooms ; 90 m_ ; Apartment;Chemin Du Cap 17; 1006 Lausanne;Bright living space;Private parking spot;Access to nature trails;CHF 2,157.-;CHF 288 / m_ / year
2.5 rooms ; 41 m_ ; Apartment;Avenue Du Grey 47; 1018 Lausanne;Modern equipped kitchen;Stunning lake views;Bright and spacious rooms;CHF 1,528.-;CHF 447 / m_ / year
1 room ; 18 m_ ; Apartment;Chemin De La Prairie 60; 1007 Lausanne;Quiet location for studying;3 min to metro station;Common laundry facilities;CHF 910.-;CHF 607 / m_ / year
1.5 rooms ;; Apartment;Avenue De Morges; 1004 Lausanne;Sunny balcony retreat;Functional equipped kitchen;Quiet residential area;CHF 1,435.-;—
1.5 rooms ;; Apartment;Chemin De Bonne-Espérance 20; 1006 Lausanne;Available from June 1st;Lease until August 2025;Serious tenant required;CHF 790.-;—
2.5 rooms ; 75 m_ ; Apartment;;1006 Lausanne;Open-plan living space;Green space view;Optional underground parking;CHF 2,015.-;CHF 322 / m_ / year
4.5 rooms ; 110 m_ ; Apartment;Chemin De La Motte 20; 1018 Lausanne;Spacious private garden;Modern open kitchen;Sauna access included;CHF 3,490.-;CHF 381 / m_ / year
3.5 rooms ; 81 m_ ; Apartment;Chemin Des Eterpeys 27; 1010 Lausanne;Close to shops and schools;Sunny balcony for relaxation;Modern kitchen with appliances;CHF 2,250.-;CHF 333 / m_ / year
4.5 rooms ;; Apartment;Avenue De La Chablière 54; 1004 Lausanne;5 min to public transport;Quiet neighborhood;Close to EPFL;CHF 760.-;—
